RefDes,Category,Manufacturer,MPN,Package,Value,Population,Temperature_C,Logical_Net,Pin_Map,Electrical_Path,Disposition,Authority,Notes
C1,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDD pin 11 local bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at U1 pin 11
U21,ESD_Array,Texas Instruments,TPD4E05U06DQAR,USON-10_DQA,4 channel 0.5 pF ESD,FITTED,-40..125,MIC3_SIGNALS,1=PDM_CLK_1V8_FANOUT;2=PDM_DATA3_1V8;3=GND;4=MIC_WAKE3;5=AAD_CFG_1V8_FANOUT;6=NC;7=NC;8=GND;9=NC;10=NC,J_MIC3 connector-side four-signal ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,No series pass-through inside device
U22,ESD_Array,Texas Instruments,TPD4E05U06DQAR,USON-10_DQA,4 channel 0.5 pF ESD,FITTED,-40..125,MIC4_SIGNALS,1=PDM_CLK_1V8_FANOUT;2=PDM_DATA4_1V8;3=GND;4=MIC_WAKE4;5=AAD_CFG_1V8_FANOUT;6=NC;7=NC;8=GND;9=NC;10=NC,J_MIC4 connector-side four-signal ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,No series pass-through inside device
U23,ESD_Array,Texas Instruments,TPD4E05U06DQAR,USON-10_DQA,4 channel 0.5 pF ESD,FITTED,-40..125,SD_UPPER_SIGNALS,1=SD_D2_CARD;2=SD_D3_CARD;3=GND;4=SD_CMD_CARD;5=SD_CK_CARD;6=NC;7=NC;8=GND;9=NC;10=NC,J12 DAT2 DAT3 CMD and CLK connector-side ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,Place adjacent to J12
U24,ESD_Array,Texas Instruments,TPD4E05U06DQAR,USON-10_DQA,4 channel 0.5 pF ESD,FITTED,-40..125,SD_LOWER_SIGNALS,1=SD_D0_CARD;2=SD_D1_CARD;3=GND;4=SD_DET;5=NC;6=NC;7=NC;8=GND;9=NC;10=NC,J12 DAT0 DAT1 and detect connector-side ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,Fourth channel intentionally NC
U25,USB_ESD_Array,Texas Instruments,TPD2EUSB30DRTR,SOT-9X3_DRT,2 channel 0.7 pF USB ESD,FITTED,-40..85,STM32_USB,1=USB_DP_CONN;2=USB_DM_CONN;3=GND,J11 STM32 USB D+ and D- connector-side ESD shunt,LOCKED_FITTED,TI_TPD2EUSB30_datasheet,Preserve USB2 differential impedance
U26,USB_ESD_Array,Texas Instruments,TPD2EUSB30DRTR,SOT-9X3_DRT,2 channel 0.7 pF USB ESD,FITTED,-40..85,CELL_USB,1=CELL_USB_DP_TP;2=CELL_USB_DM_TP;3=GND_MODEM,BG95 recovery USB D+ and D- fixture-side ESD shunt,LOCKED_FITTED,TI_TPD2EUSB30_datasheet,Never connect to J11 USB nets
U27,ESD_Array,Texas Instruments,TPD4E05U06DQAR,USON-10_DQA,4 channel 0.5 pF ESD,FITTED,-40..125,CELL_DEBUG_SIGNALS,1=CELL_DBG_TXD_TP;2=CELL_DBG_RXD_TP;3=GND_MODEM;4=CELL_DBG_VREF_TP;5=CELL_USB_BOOT_TP;6=NC;7=NC;8=GND_MODEM;9=NC;10=NC,BG95 debug fixture four-signal ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,All fixture signals remain 1.8 V domain
D1,Supply_TVS,Nexperia,PESD5V0S1UL,SOD882,5 V unidirectional 150 W TVS,FITTED,-55..150,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB low-leakage TVS shunt,LOCKED_FITTED,Nexperia_PESD5V0S1UL_v5,Cathode pin 1 is the protected rail
D2,Supply_TVS,Nexperia,PESD5V0S1UL,SOD882,5 V unidirectional 150 W TVS,FITTED,-55..150,3V8_MODEM_RF,1=3V8_MODEM_RF;2=GND_MODEM,U8 VBAT_RF low-leakage TVS shunt,LOCKED_FITTED,Nexperia_PESD5V0S1UL_v5,Cathode pin 1 is the protected rail
D3,RF_ESD,Nexperia,PESD5V0C1BSF,SOD962-2,5 V bidirectional 0.2 pF RF ESD,FITTED,-40..125,CELL_RF_ANT,1=CELL_RF_ANT;2=GND_MODEM,J8 connector-side cellular RF ESD shunt,LOCKED_FITTED,Nexperia_PESD5V0C1BSF_v3,No series element and no RF stub
D4,RF_ESD,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V unidirectional 0.5 pF RF ESD,FITTED,-40..125,GNSS_RF_ANT_BIASED,1=GNSS_RF_ANT_BIASED;2=GND,J9 connector-side GNSS RF ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,Unidirectional part is required because the RF node carries DC antenna bias
D5,RF_ESD,Nexperia,PESD5V0C1BSF,SOD962-2,5 V bidirectional 0.2 pF RF ESD,FITTED,-40..125,LORA_RF_ANT,1=LORA_RF_ANT;2=GND,J10 connector-side LoRa RF ESD shunt,LOCKED_FITTED,Nexperia_PESD5V0C1BSF_v3,No series element and no RF stub
D6,ESD_Diode,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V 0.5 pF ESD,FITTED,-40..125,USB_VBUS_CONN,1=USB_VBUS_CONN;2=GND,J11 VBUS connector-side ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,VBUS is sense-only on PCB-MAIN
D7,ESD_Diode,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V 0.5 pF ESD,FITTED,-40..125,USB_CC1,1=USB_CC1;2=GND,J11 CC1 connector-side ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,Place ahead of R93
D8,ESD_Diode,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V 0.5 pF ESD,FITTED,-40..125,USB_CC2,1=USB_CC2;2=GND,J11 CC2 connector-side ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,Place ahead of R94
D9,ESD_Diode,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V 0.5 pF ESD,FITTED,-40..125,TAMPER_IN_CONN,1=TAMPER_IN_CONN;2=GND,J13 tamper connector-side ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,Place adjacent to J13
D10,ESD_Diode,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V 0.5 pF ESD,FITTED,-40..125,CELL_USB_VBUS,1=CELL_USB_VBUS;2=GND_MODEM,BG95 recovery VBUS fixture-side ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,Fixture-controlled VBUS only
D11,ESD_Diode,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V 0.5 pF ESD,FITTED,-40..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,J12 microSD supply connector-side ESD shunt,LOCKED_FITTED,TI_TPDxE05U06_RevO,Place adjacent to J12 VDD
X1,TCXO,SiTime,SiT1552AI-JE-DCC-32.768D,CSP-4_1.5x0.8mm,32.768 kHz full-swing LVCMOS,FITTED,-40..85,LSE_IN,1=GND;2=LSE_IN;3=3V3_DIGITAL;4=GND,External-clock low-speed reference to U1 PC14,LOCKED_FITTED,SiTime_SiT1552_Rev1.43,No external bypass capacitor or load capacitors
